Common Name,Species,Region,Maximum age,Plus group age,Comments
aurora rockfish,Sebastes aurora,west coast US,NA,NA,
blackgill rockfish,Sebastes melanostomus,west coast US,NA,NA,
black rockfish,Sebastes melanops,west coast US,NA,NA,
bocaccio rockfish,Sebastes paucispinis,west coast US,NA,NA,
cabezon,Scorpaenichthys marmoratus,west coast US,NA,NA,
chilipepper rockfish,Sebastes goodei,west coast US,NA,NA,
china rockfish,Sebastes nebulosus,west coast US,NA,NA,
canary rockfish,Sebastes pinniger,west coast US,NA,NA,
darkblotched rockfish,Sebastes crameri,west coast US,NA,NA,
Dover sole,Microstomus pacificus,west coast US,NA,NA,
greenstriped rockfish,Sebastes elongatus,west coast US,NA,NA,
greenspotted rockfish,Sebastes chlorostictus,west coast US,NA,NA,
lingcod,Ophiodon elongatus,west coast US,NA,NA,
longspine thornyhead,Sebastolobus altivelis,west coast US,NA,NA,
Pacific hake,Merluccius productus,west coast US,NA,NA,
Pacific ocean perch,Sebastes alutus,west coast US,NA,NA,
petrale sole,Eopsetta jordani,west coast US,NA,NA,
rougheye and blackspotted rockfishes,Sebastes aleutianus,west coast US,NA,NA,"Maximum age is for S. aleutianus only, but assessment includes S. melanosticus"
sablefish,Anoplopoma fimbria,west coast US,NA,NA,
North Pacific spiny dogfish,Squalus suckleyi,west coast US,NA,NA,"Changed from Squalus acanthias since assessment, differentiating it from Atlantic species"
splitnose rockfish,Sebastes diploproa,west coast US,NA,NA,
shortspine thornyhead,Sebastolobus alascanus,west coast US,NA,NA,
widow rockfish,Sebastes entomelas,west coast US,NA,NA,
yelloweye rockfish,Sebastes ruberrimus,west coast US,NA,NA,
Atlantic cod,Gadus morhua,ICES,NA,NA,
sea bass,Dicentrarchus labrax,ICES,NA,NA,
blue whiting,Micromesistius poutassou,ICES,NA,NA,
herring,Clupea harengus,ICES,NA,NA,
sardine,Sardina pilchardus,ICES,NA,NA,
haddock,Melanogrammus aeglefinus,ICES,NA,NA,
vermillion snapper,Rhomboplites aurorubens,southeast US,NA,NA,
golden tilefish,Lopholatilus chamaeleonticeps,southeast US,NA,NA,
red porgy,Pagrus pagrus,southeast US,NA,NA,
snowy grouper,Hyporthodus niveatus,southeast US,NA,NA,
blueline tilefish,Caulolatilus microps,southeast US,NA,NA,
cobia,Rachycentron canadum,southeast US,NA,NA,
red grouper,Epinephelus morio,southeast US,NA,NA,
greater amberjack,Seriola dumerili,southeast US,NA,NA,
gag grouper,Mycteroperca microlepis,southeast US,NA,NA,
black sea bass,Centropristis striata,southeast US,NA,NA,
red snapper,Lutjanus campechanus,southeast US,NA,NA,
yellowtail flounder,Limanda ferruginea,northeast US,NA,NA,
Atlantic butterfish,Peprilus triacanthus,northeast US,NA,NA,
Atlantic cod,Gadus morhua,northeast US,NA,NA,
bluefish,Pomatomus saltatrix,northeast US,NA,NA,
scup,Stenotomus chrysops,northeast US,NA,NA,
Pacific ocean perch,Sebastes alutus,Alaska,NA,NA,
flathead sole,Hippoglossoides elassodon,Alaska,NA,NA,
walleye pollock,Theragra chalcogramma,Alaska,NA,NA,
rougheye and blackspotted rockfishes,Sebastes aleutianus,Alaska,NA,NA,
dusky rockfish,Sebastes ciliatus,Alaska,NA,NA,
sablefish,Anoplopoma fimbria,Alaska,NA,NA,
Pacific ocean perch,Sebastes alutus,Alaska,NA,NA,
northern rockfish,Sebastes polyspinis,Alaska,NA,NA,
arrowtooth flounder,Atheresthes stomias,Alaska,NA,NA,
flathead sole,Hippoglossoides elassodon,Alaska,NA,NA,
yellowfin sole,Limanda aspera,Alaska,NA,NA,
Greenland turbot,Reinhardtius hippoglossoides,Alaska,NA,NA,
walleye pollock,Theragra chalcogramma,Alaska,NA,NA,
walleye pollock,Theragra chalcogramma,Alaska,NA,NA,
Pacific cod,Gadus macrocephalus,Alaska,NA,NA,
northern rock sole,Lepidopsetta polyxystra,Alaska,NA,NA,
atka mackerel,Pleurogrammus monopterygius,Alaska,NA,NA,
